Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
India,IND,435990338,446564729,457283090,468138575,479229598,490140146,500740247,511606372,522716889,533880544,545864268,558096387,570482142,583465598,597041391,611309535,625861883,640801103,655728229,671155747,687354025,703696250,720313473,737372681,754875449,772647793,790689978,808931270,827342990,846039529,864972221,883927600,902957070,922118387,941163767,960301044,979678458,999133762,1018665080,1038225823,1057922733,1077898575,1097600380,1116803006,1135991513,1154676322,1172878890,1190676021,1207930964,1225524753,1243481564,1261224954,1278674502,1295829511,1312277191,1328024498,1343944296,1359657400,1374659064,1389030312,1402617695,1414203896,1425423212,1438069596
Iraq,IRQ,7022052,7194553,7413875,7667928,7929566,8202140,8485104,8778869,9085016,9403356,9735611,10077809,10430164,10795869,11167761,11543639,11927651,12331046,12753355,13170365,13591992,14006381,14406083,14840555,15310733,15683430,16074145,16521049,16908819,17364542,17581206,17767253,18300845,19201195,20139807,20825860,21501321,22176593,22884399,23636527,24424056,25197840,26006559,26802659,27577878,28407448,28616515,28391607,28971036,30058206,31045366,32161424,33654842,35281989,36550059,37560535,38469627,39337353,40265624,41192171,42116605,43071211,44070551,45074049
Israel,ISR,2114020,2185000,2293000,2379000,2475000,2563000,2629000,2745000,2803000,2877000,2974000,3069000,3148000,3278000,3377000,3455000,3533000,3613000,3690000,3786000,3878000,3956000,4031000,4105000,4159000,4233000,4299000,4369000,4442000,4518000,4660000,4949000,5123000,5261000,5399000,5545000,5692000,5836000,5971000,6125000,6289000,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215700,8380100,8546000,8713300,8882800,9054000,9215100,9371400,9557500,9756600
Jordan,JOR,853471,897591,940554,984714,1035640,1099440,1178360,1271183,1372460,1473100,1565163,1645145,1714555,1778094,1839182,1899055,1958177,2019002,2083595,2153882,2234186,2325517,2426927,2537307,2654688,2778810,2909887,3047634,3193039,3349627,3621908,3915149,4127693,4348020,4561406,4752096,4912516,5046285,5164284,5276444,5386945,5498894,5616066,5741828,5882061,6029587,6427371,6827227,6989866,7141753,7297043,7480424,7587127,7991809,8791710,9544729,10006367,10234226,10462306,10671891,10865228,11066356,11256263,11439213
Japan,JPN,93216000,94055000,94933000,95900000,96903000,97952000,98851000,99879000,101011000,102219000,103403000,105697000,107188000,108707000,110162000,111573000,112775000,113872000,114913000,115890000,116807000,117661000,118480000,119307000,120083000,120837000,121482000,122069000,122578000,123069000,123478000,123964000,124425000,124829000,125178000,125472000,125757000,126057000,126400000,126631000,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,127076000,126972000,126811000,126633000,126261000,125681593,125124989,124516650
Kazakhstan,KAZ,9429981,9742085,10058928,10377466,10690309,10993183,11288989,11584428,11879182,12156212,12419057,12684813,12951798,13208121,13454570,13700843,13998738,14353265,14711497,14978696,15152949,15323082,15492595,15665551,15844621,16031090,16262702,16527715,16781168,16997013,17154054,17278600,17332625,17274487,17043771,16730536,16416027,16043251,15647785,15455874,15501103,15575550,15656677,15747380,15850159,15968117,16103716,16257214,16426525,16619846,16836810,17066002,17306106,17556502,17816285,18084169,18363600,18651931,18932727,19209555,19482117,19743603,20034609,20330104
Cambodia,KHM,5449966,5571168,5697558,5823010,5946178,6072289,6201232,6332944,6467324,6604725,6639182,6620880,6673886,6739726,6783240,6581371,6134991,5668551,5211653,5088808,5199872,5284495,5436432,5636203,5845117,6043783,6285693,6557970,6812014,7073473,7374752,7686850,8113083,8616381,9239162,10018497,10801270,11570982,12058173,12265731,12462336,12658484,12855241,13050968,13244731,13439202,13639028,13841770,14053479,14276810,14500726,14722584,14945085,15170208,15396772,15623251,15852803,16073372,16274522,16481304,16725474,16974305,17201724,17423880
Kuwait,KWT,311060,345945,384995,427694,473115,521174,572590,628089,687716,749452,809114,865076,920352,977654,1038346,1104863,1178711,1258023,1340319,1423514,1504782,1583426,1662480,1744295,1820688,1894242,1972520,2052994,2134707,2217468,1684819,1351399,1634961,1672151,1664361,1681513,1730246,1787683,1844302,1900030,1954709,2008121,2059974,2109881,2157320,2236788,2364733,2507887,2651421,2795484,2943372,3132814,3337109,3507844,3665876,3834574,4004096,4154812,4323515,4442316,4400267,4360865,4589643,4853420
Lebanon,LBN,1794406,1850084,1909578,1970316,2030543,2088831,2148260,2206731,2266368,2328159,2386114,2446314,2509729,2572935,2635185,2693191,2726469,2762155,2822682,2882635,2944763,3008981,3054931,3094996,3152744,3217376,3300365,3385555,3454649,3525285,3595175,3668912,3747371,3820647,3889799,3960735,4034781,4108405,4181281,4255277,4329340,4401918,4463504,4525508,4599279,4671102,4751136,4844118,4925354,4992287,5041288,5096020,5235742,5743436,6346990,6472469,6323060,6160128,5984119,5794594,5702398,5718122,5744489,5773493
Sri Lanka,LKA,9661389,9899372,10143754,10395040,10653397,10916965,11183928,11457328,11736088,12013858,12287110,12551910,12809205,13060916,13305693,13548984,13796770,14049371,14310128,14579614,14847974,15099414,15286567,15388794,15441860,15544154,15731256,15916576,16078621,16248557,16352458,16475354,16739284,17025918,17275773,17564068,17905018,18248200,18596003,18944731,19293054,19600362,19805752,19951521,20087605,20216524,20352411,20492545,20629378,20756435,20879089,21009048,21169458,20585000,20778000,20970000,21209000,21444000,21670000,21803000,21919000,22156000,22181000,22037000
Maldives,MDV,91189,93450,95802,98222,100662,104102,108507,112528,116075,119564,123219,127035,130968,134952,138978,143158,147525,151930,156159,160360,164835,169532,174333,179128,184198,190169,196935,203944,210885,217738,224762,231802,238543,244884,250822,256649,262347,267707,272723,277412,282019,286767,291616,296491,301413,306429,313851,324479,336170,348275,360792,373674,386818,400070,413617,428154,443308,458287,473099,487731,502118,516154,524106,525994
Myanmar,MMR,21730250,22210581,22704719,23213408,23737315,24279431,24836496,25406429,25989662,26585112,27193016,27807219,28428324,29026388,29598167,30176565,30758811,31355966,31972976,32596550,33227204,33858783,34482965,35162715,35899313,36622827,37314878,37971594,38600927,39214618,39817251,40394154,40950342,41502429,42055143,42605338,43154860,43708798,44257793,44787724,45290841,45771139,46232653,46667192,47068772,47438365,47785135,48125043,48390793,48660459,49024382,49419820,49837446,50262658,50681634,51089056,51495696,51894938,52272247,52640713,53016522,53387102,53756787,54133798
Mongolia,MNG,977595,1009284,1041444,1071362,1100234,1131177,1163754,1196996,1229930,1262284,1295272,1330071,1366821,1405502,1446050,1488296,1531945,1576245,1619468,1660659,1701335,1742857,1785364,1829092,1874349,1921514,1970965,2022800,2076322,2124185,2098710,2165342,2167790,2165130,2189395,2224945,2259507,2291750,2323809,2356813,2388299,2417751,2449027,2480374,2508412,2536407,2567168,2601850,2643201,2691115,2738622,2786317,2839705,2899011,2963113,3026864,3088856,3148917,3208189,3267673,3327204,3383741,3433748,3481145
Malaysia,MYS,7956197,8164443,8380172,8602160,8828406,9056408,9284688,9507099,9725281,9947597,10178802,10423453,10676835,10935621,11200906,11471914,11750097,12035713,12328157,12627862,12983363,13399203,13832798,14285907,14759009,15252258,15760419,16276737,16796605,17314997,17833171,18342464,18834572,19322664,19820446,20330599,20850087,21375218,21906713,22435531,22967816,23526538,24102477,24679602,25256772,25836071,26417909,26998389,27570059,28124778,28655776,29162039,29662831,30174265,30696137,31232798,31789685,32355644,32910967,33440596,33889558,34282399,34695493,35126298
