Year,Afghanistan_Original,Afghanistan_Cleaned,United Arab Emirates_Original,United Arab Emirates_Cleaned,Armenia_Original,Armenia_Cleaned,Azerbaijan_Original,Azerbaijan_Cleaned,Bangladesh_Original,Bangladesh_Cleaned,Bahrain_Original,Bahrain_Cleaned,Bhutan_Original,Bhutan_Cleaned,China_Original,China_Cleaned,Cyprus_Original,Cyprus_Cleaned,Georgia_Original,Georgia_Cleaned,Indonesia_Original,Indonesia_Cleaned,India_Original,India_Cleaned,Iraq_Original,Iraq_Cleaned,Israel_Original,Israel_Cleaned,Jordan_Original,Jordan_Cleaned,Japan_Original,Japan_Cleaned,Kazakhstan_Original,Kazakhstan_Cleaned,Cambodia_Original,Cambodia_Cleaned,Kuwait_Original,Kuwait_Cleaned,Lebanon_Original,Lebanon_Cleaned,Sri Lanka_Original,Sri Lanka_Cleaned,Maldives_Original,Maldives_Cleaned,Myanmar_Original,Myanmar_Cleaned,Mongolia_Original,Mongolia_Cleaned,Malaysia_Original,Malaysia_Cleaned,Nepal_Original,Nepal_Cleaned,Oman_Original,Oman_Cleaned,Pakistan_Original,Pakistan_Cleaned,Philippines_Original,Philippines_Cleaned,Qatar_Original,Qatar_Cleaned,Saudi Arabia_Original,Saudi Arabia_Cleaned,Singapore_Original,Singapore_Cleaned,Thailand_Original,Thailand_Cleaned,Tajikistan_Original,Tajikistan_Cleaned,Turkmenistan_Original,Turkmenistan_Cleaned,Timor-Leste_Original,Timor-Leste_Cleaned,Uzbekistan_Original,Uzbekistan_Cleaned
2012,30560034,30560034,7391448,7391448,3024100,3024100,9295784,9295784,155070101,155070101,1208964,1208964,717279,717279,1354190000,1354190000,1165397,1165397,3728874,3728874,252698525,252698525,1278674502,1278674502,33654842,33654842,7910500,7910500,7587127,7587127,127629000,127629000,17306106,17306106,14945085,14945085,3337109,3337109,5235742,5235742,21169458,21169458,386818,386818,49837446,49837446,2839705,2839705,29662831,29662831,27534915,27534915,3547106,3547106,207667125,207667125,100175512,100175512,1722438,1722438,26168861,26168861,5312437,5312437,69436098,69436098,8014084,8014084,5808546,5808546,1134885,1134885,29261903,29261903
2013,31622704,31622704,7693031,7693031,3022000,3022000,9416801,9416801,156532141,156532141,1253191,1253191,725273,725273,1363240000,1363240000,1183895,1183895,3717668,3717668,255852467,255852467,1295829511,1295829511,35281989,35281989,8059500,8059500,7991809,7991809,127445000,127445000,17556502,17556502,15170208,15170208,3507844,3507844,5743436,5743436,20585000,20585000,400070,400070,50262658,50262658,2899011,2899011,30174265,30174265,27589996,27589996,3833913,3833913,211073978,211073978,102076336,102076336,1916426,1916426,27624004,27624004,5399162,5399162,69845114,69845114,8216724,8216724,5939341,5939341,1158695,1158695,29724065,29724065
2014,32792523,32792523,8059440,8059440,3013800,3013800,9535079,9535079,157964929,157964929,1314562,1314562,733139,733139,1371860000,1371860000,1201801,1201801,3719414,3719414,258877399,258877399,1312277191,1312277191,36550059,36550059,8215700,8215700,8791710,8791710,127276000,127276000,17816285,17816285,15396772,15396772,3665876,3665876,6346990,6346990,20778000,20778000,413617,413617,50681634,50681634,2963113,2963113,30696137,30696137,27672370,27672370,4002439,4002439,214264647,214264647,103767130,103767130,2151745,2151745,28309273,28309273,5469724,5469724,70216367,70216367,8425552,8425552,6075283,6075283,1181903,1181903,30222994,30222994
2015,33831764,33831764,8505237,8505237,3004600,3004600,9649341,9649341,159383179,159383179,1370322,1370322,740618,740618,1379860000,1379860000,1219502,1219502,3725276,3725276,261799249,261799249,1328024498,1328024498,37560535,37560535,8380100,8380100,9544729,9544729,127141000,127141000,18084169,18084169,15623251,15623251,3834574,3834574,6472469,6472469,20970000,20970000,428154,428154,51089056,51089056,3026864,3026864,31232798,31232798,27823629,27823629,4184895,4184895,217290883,217290883,105312992,105312992,2344557,2344557,29816382,29816382,5535002,5535002,70540795,70540795,8643840,8643840,6215770,6215770,1205131,1205131,30749346,30749346
2016,34700612,34700612,8935095,8935095,2992300,2992300,9757812,9757812,160811932,160811932,1423726,1423726,747866,747866,1387790000,1387790000,1237112,1237112,3727505,3727505,264627418,264627418,1343944296,1343944296,38469627,38469627,8546000,8546000,10006367,10006367,127076000,127076000,18363600,18363600,15852803,15852803,4004096,4004096,6323060,6323060,21209000,21209000,443308,443308,51495696,51495696,3088856,3088856,31789685,31789685,27955462,27955462,4390877,4390877,220138869,220138869,106735719,106735719,2477113,2477113,30954198,30954198,5607283,5607283,70859841,70859841,8865631,8865631,6360041,6360041,1228312,1228312,31284568,31284568
2017,35688935,35688935,9223225,9223225,2979400,2979400,9854033,9854033,162186147,162186147,1501116,1501116,754335,754335,1396215000,1396215000,1254275,1254275,3728004,3728004,267346658,267346658,1359657400,1359657400,39337353,39337353,8713300,8713300,10234226,10234226,126972000,126972000,18651931,18651931,16073372,16073372,4154812,4154812,6160128,6160128,21444000,21444000,458287,458287,51894938,51894938,3148917,3148917,32355644,32355644,28011258,28011258,4537396,4537396,223273967,223273967,108119693,108119693,2545820,2545820,30977355,30977355,5612253,5612253,71160187,71160187,9085946,9085946,6507061,6507061,1251703,1251703,31819178,31819178
2018,36743039,36743039,9346701,9346701,2969000,2969000,9939771,9939771,163523103,163523103,1503091,1503091,759759,759759,1402760000,1402760000,1270737,1270737,3726549,3726549,269951846,269951846,1374659064,1374659064,40265624,40265624,8882800,8882800,10462306,10462306,126811000,126811000,18932727,18932727,16274522,16274522,4323515,4323515,5984119,5984119,21670000,21670000,473099,473099,52272247,52272247,3208189,3208189,32910967,32910967,28079689,28079689,4597877,4597877,226928892,226928892,109465287,109465287,2580734,2580734,30196281,30196281,5638676,5638676,71376079,71376079,9307333,9307333,6655524,6655524,1275959,1275959,32373490,32373490
2019,37856121,37856121,9445785,9445785,2962500,2962500,10024283,10024283,164913055,164913055,1483756,1483756,764824,764824,1407745000,1407745000,1286671,1286671,3720161,3720161,272489381,272489381,1389030312,1389030312,41192171,41192171,9054000,9054000,10671891,10671891,126633000,126633000,19209555,19209555,16481304,16481304,4442316,4442316,5794594,5794594,21803000,21803000,487731,487731,52640713,52640713,3267673,3267673,33440596,33440596,28414064,28414064,4591241,4591241,230800899,230800899,110804683,110804683,2638657,2638657,30063799,30063799,5703569,5703569,71522271,71522271,9529966,9529966,6803944,6803944,1300945,1300945,32964701,32964701
2020,39068979,39068979,9401038,9401038,2961500,2961500,10093121,10093121,166298024,166298024,1472204,1472204,770006,770006,1411100000,1411100000,1302247,1302247,3722716,3722716,274814866,274814866,1402617695,1402617695,42116605,42116605,9215100,9215100,10865228,10865228,126261000,126261000,19482117,19482117,16725474,16725474,4400267,4400267,5702398,5702398,21919000,21919000,502118,502118,53016522,53016522,3327204,3327204,33889558,33889558,28966574,28966574,4522497,4522497,235001746,235001746,112081264,112081264,2794148,2794148,31552510,31552510,5685807,5685807,71641484,71641484,9749310,9749310,6949912,6949912,1326053,1326053,33586372,33586372
2021,40000412,40000412,9575152,9575152,2962300,2962300,10137750,10137750,167658854,167658854,1504365,1504365,775442,775442,1412360000,1412360000,1317309,1317309,3708610,3708610,276758053,276758053,1414203896,1414203896,43071211,43071211,9371400,9371400,11066356,11066356,125681593,125681593,19743603,19743603,16974305,16974305,4360865,4360865,5718122,5718122,22156000,22156000,516154,516154,53387102,53387102,3383741,3383741,34282399,34282399,29475010,29475010,4500424,4500424,239477801,239477801,113100950,113100950,2504910,2504910,30784383,30784383,5453566,5453566,71727332,71727332,9966908,9966908,7092043,7092043,1350139,1350139,34243696,34243696
2022,40578842,40578842,10074977,10074977,2969200,2969200,10141756,10141756,169384897,169384897,1524693,1524693,780914,780914,1412175000,1412175000,1331370,1331370,3712502,3712502,278830529,278830529,1425423212,1425423212,44070551,44070551,9557500,9557500,11256263,11256263,125124989,125124989,20034609,20034609,17201724,17201724,4589643,4589643,5744489,5744489,22181000,22181000,524106,524106,53756787,53756787,3433748,3433748,34695493,34695493,29715436,29715436,4730226,4730226,243700667,243700667,113964338,113964338,2657333,2657333,32175224,32175224,5637022,5637022,71735329,71735329,10182222,10182222,7230193,7230193,1369295,1369295,34938955,34938955
2023,41454761,41454761,10483751,10483751,2990900,2990900,10153958,10153958,171466990,171466990,1577059,1577059,786385,786385,1410710000,1410710000,1344976,1344976,3715483,3715483,281190067,281190067,1438069596,1438069596,45074049,45074049,9756600,9756600,11439213,11439213,124516650,124516650,20330104,20330104,17423880,17423880,4853420,4853420,5773493,5773493,22037000,22037000,525994,525994,54133798,54133798,3481145,3481145,35126298,35126298,29694614,29694614,5049269,5049269,247504495,247504495,114891199,114891199,2656032,2656032,33264292,33264292,5917648,5917648,71702435,71702435,10389799,10389799,7364438,7364438,1384286,1384286,35652307,35652307
