Year,Population
2024,33911708.393496774
2025,34559124.78699355
2026,35206541.18049033
2027,35853957.573987104
2028,36501373.96748388
2029,37148790.36098066
2030,37796206.754477434
2031,38443623.14797421
2032,39091039.54147098
2033,39738455.934967756
2034,40385872.32846454
2035,41033288.72196131
