Year,Population
2024,4848204.69541517
2025,4874594.778780824
2026,4862050.3831460085
2027,4867953.212421966
2028,4875746.544135291
2029,4873778.3103599055
2030,4879112.168259943
2031,4882687.4214766435
2032,4884489.407469351
2033,4888550.536687639
2034,4891514.387025432
2035,4894390.970348897
