Year,Population
2024,114841327.69300334
2025,114896529.53206791
2026,114892222.64427267
2027,114921618.8357629
2028,114931927.11169414
2029,114953045.92862375
2030,114968042.13901122
2031,114986505.91969657
2032,115003005.82377347
2033,115020617.97965838
2034,115037600.20590357
2035,115054939.19610108
