Year,Population
2024,6978570.260538154
2025,9175504.523325149
2026,12627413.887679495
2027,17569275.855618216
2028,24210813.112686556
2029,32739083.764381323
2030,43320806.29478629
2031,56104446.41444656
2032,71222090.18234506
2033,88791125.28960058
2034,108915750.15100518
2035,131688328.43856786
