Year,Population
2024,171486145.68095413
2025,171495499.2874455
2026,171504852.89393687
2027,171514206.50042823
2028,171523560.1069196
2029,171532913.71341094
2030,171542267.31990233
2031,171551620.9263937
2032,171560974.53288504
2033,171570328.1393764
2034,171579681.7458678
2035,171589035.35235915
