Year,Population
2024,124467081.03297257
2025,124446126.19376555
2026,124413402.19445874
2027,124385518.92034627
2028,124355644.62731585
2029,124326589.25214845
2030,124297197.05121796
2031,124267943.38871703
2032,124238632.7445402
2033,124209345.53726387
2034,124180048.69025166
2035,124150755.80811988
