Year,Population
2024,9941613.095415246
2025,10120464.258824423
2026,10299315.4222336
2027,10478166.585642777
2028,10657017.749051955
2029,10835868.912461132
2030,11014720.075870309
2031,11193571.239279486
2032,11372422.402688665
2033,11551273.566097843
2034,11730124.72950702
2035,11908975.892916197
