Year,Population
2024,71673958.84670754
2025,71652219.02516288
2026,71630479.20361821
2027,71608739.38207355
2028,71586999.56052889
2029,71565259.73898423
2030,71543519.91743958
2031,71521780.09589492
2032,71500040.27435026
2033,71478300.4528056
2034,71456560.63126093
2035,71434820.80971627
