Year,Population
2024,54127541.15480906
2025,54125748.30682058
2026,54123955.4588321
2027,54122162.61084362
2028,54120369.76285514
2029,54118576.91486666
2030,54116784.066878185
2031,54114991.21888971
2032,54113198.370901234
2033,54111405.522912756
2034,54109612.67492428
2035,54107819.8269358
