Year,Population
2024,10388048.891751317
2025,10390117.55634209
2026,10392186.220932862
2027,10394254.885523634
2028,10396323.550114404
2029,10398392.214705177
2030,10400460.879295949
2031,10402529.543886721
2032,10404598.208477493
2033,10406666.873068264
2034,10408735.537659036
2035,10410804.202249808
