Year,Population
2024,1419760000.0
2025,1428810000.0
2026,1437860000.0
2027,1446910000.0
2028,1455960000.0
2029,1465010000.0
2030,1474060000.0
2031,1483110000.0
2032,1492160000.0
2033,1501210000.0
2034,1510260000.0
2035,1519310000.0
