Year,Population
2024,10683712.985809837
2025,10829451.295329545
2026,11033759.492374491
2027,11298512.77100293
2028,11575003.79920742
2029,11832075.800806176
2030,12071866.367671872
2031,12309483.336157423
2032,12553388.398100065
2033,12802169.858572239
2034,13051207.145549836
2035,13298247.482844558
