Year,Population
2024,11452331.368768094
2025,11361988.908197522
2026,11373538.223954123
2027,11411972.233311335
2028,11414695.219945764
2029,11411102.295220342
2030,11419799.897230158
2031,11429698.14189069
2032,11435437.025973573
2033,11441079.974704614
2034,11448108.007535161
2035,11455067.301454818
