Year,Population
2024,10171937.82696942
2025,10159289.946269155
2026,10163038.61981096
2027,10158009.392181948
2028,10157679.417080453
2029,10154833.695459643
2030,10153334.779636646
2031,10151114.850848671
2032,10149280.916609064
2033,10147240.3400501
2034,10145310.389530621
2035,10143321.215321386
