Year,Population
2024,21452542.0
2025,20868084.0
2026,20283626.0
2027,19699168.0
2028,19114710.0
2029,18530252.0
2030,17945794.0
2031,17361336.0
2032,16776878.0
2033,16192420.0
2034,15607962.0
2035,15023504.0
