Year,Population
2024,42505375.317530155
2025,43517413.943862826
2026,44515988.87690176
2027,45519411.483774714
2028,46528686.81842826
2029,47539166.36996745
2030,48548544.982778504
2031,49557109.262686566
2032,50565624.44967301
2033,51574344.4464088
2034,52583167.34290774
2035,53591978.19423002
