Year,Population
2024,250700686.21090305
2025,253896877.42180613
2026,257093068.63270918
2027,260289259.84361225
2028,263485451.0545153
2029,266681642.26541838
2030,269877833.47632146
2031,273074024.6872245
2032,276270215.89812756
2033,279466407.1090306
2034,282662598.3199337
2035,285858789.53083676
