Year,Population
2024,35639737.08561944
2025,36153176.17123889
2026,36666615.256858334
2027,37180054.34247778
2028,37693493.428097226
2029,38206932.51371667
2030,38720371.59933612
2031,39233810.68495556
2032,39747249.770575
2033,40260688.85619445
2034,40774127.94181389
2035,41287567.02743334
