Year,Population
2024,36118541.265409485
2025,36584775.53081896
2026,37051009.796228446
2027,37517244.06163793
2028,37983478.327047415
2029,38449712.59245689
2030,38915946.85786638
2031,39382181.12327586
2032,39848415.388685346
2033,40314649.65409482
2034,40780883.91950431
2035,41247118.18491379
