Year,Population
2024,1450617162.1166494
2025,1463071186.415307
2026,1475436663.2626688
2027,1487718320.3671672
2028,1499920633.0163386
2029,1512047837.554031
2030,1524103944.1380386
2031,1536092748.8165853
2032,1548017844.96002
2033,1559882634.0821557
2034,1571690336.083836
2035,1583443998.949581
