Year,Population
2024,2895683.322360128
2025,3093115.7317665685
2026,3198755.6109255953
2027,3237386.729675906
2028,3284224.527196803
2029,3403367.7697880827
2030,3598762.0831793793
2031,3814935.9506187798
2032,3983795.7748336634
2033,4078260.8915887494
2034,4130687.8977352744
2035,4204010.651665859
