Year,Population
2024,45036747.87845059
2025,45060868.2546701
2026,45087069.21152493
2027,45092342.363233775
2028,45100932.59419234
2029,45115881.54106126
2030,45128502.66955397
2031,45139444.83623423
2032,45151486.93527481
2033,45163879.304292105
2034,45175836.88611479
2035,45187760.758662574
