Year,Population
2024,29739559.54339909
2025,29779966.95632172
2026,29817973.16214203
2027,29854802.063976515
2028,29891033.82433542
2029,29926967.298648328
2030,29962750.749142554
2031,29998458.976209518
2032,30034129.43348449
2033,30069780.938218903
2034,30105422.930099744
2035,30141060.147786174
