Year,Population
2024,4888739.535619621
2025,4858913.073439567
2026,4931869.5714011155
2027,4947308.870420355
2028,4920533.336849418
2029,4919003.092599166
2030,4934775.890904726
2031,4939494.818426857
2032,4937136.961286039
2033,4939608.249128262
2034,4944967.157589677
2035,4948220.7878272245
